Word 1,Word 2,Human (Mean),cosine_similarity
midday,noon,8.9375,0.16179360449314117
mile,kilometer,6.9375,0.6105725169181824
minister,party,3.0625,0.3109489977359772
ministry,culture,2.844,0.15895329415798187
minority,peace,1.1875,0.06231338903307915
money,bank,6.0,0.34635689854621887
money,cash,8.875,0.4424450695514679
money,cash,9.0315,0.4424450695514679
money,currency,7.9375,0.12755531072616577
money,deposit,5.375,0.20208896696567535
money,dollar,7.6875,0.41904133558273315
money,laundering,4.4565,0.10166860371828079
money,operation,1.875,0.3660670518875122
money,possession,4.3125,0.16586938500404358
money,property,5.0625,0.3049355149269104
money,wealth,7.0625,0.1897890418767929
money,withdrawal,4.0625,0.09308280050754547
monk,slave,2.5625,0.08151304721832275
month,hotel,1.0625,0.20823299884796143
morality,importance,2.5,0.37879085540771484
morality,marriage,2.375,0.24658115208148956
movie,critic,3.1875,0.09275443106889725
movie,star,4.3125,0.27727746963500977
movie,theater,6.125,0.31191349029541016
museum,theater,3.875,0.23041734099388123
music,project,3.1875,0.3125097155570984
nature,environment,6.9375,0.33768466114997864
nature,man,2.9375,0.37821945548057556
network,hardware,3.8125,0.027592523023486137
news,report,6.8125,0.4798802137374878
noon,string,0.6875,0.1983279585838318
observation,architecture,1.875,0.32178995013237
oil,stock,2.9375,0.19141006469726562
opera,industry,1.194,0.30245310068130493
opera,performance,4.875,0.42573410272598267
peace,atmosphere,2.1875,0.13310924172401428
peace,insurance,1.7565,0.07225066423416138
peace,plan,1.5,0.14223003387451172
phone,equipment,4.0315,0.2623731195926666
physics,chemistry,5.0625,0.4086170792579651
plane,car,3.5625,0.2442351132631302
planet,moon,6.0,0.43372592329978943
planet,people,3.375,0.2990947365760803
planet,space,5.3125,0.1875263750553131
planet,star,5.625,0.24560365080833435
planet,sun,5.8125,0.23699429631233215
population,development,3.4755,0.32683345675468445
possibility,girl,1.069,0.3252110779285431
practice,institution,3.5625,0.3403779864311218
precedent,collection,1.0625,0.08499158918857574
precedent,example,5.4375,0.19930873811244965
precedent,group,1.5625,0.08381696790456772
precedent,information,2.375,0.1459299921989441
precedent,law,4.375,0.11102624982595444
prejudice,recognition,3.3125,0.1420932561159134
preservation,world,2.4375,0.19829855859279633
president,medal,1.25,0.1656808704137802
problem,airport,1.3125,0.16237303614616394
problem,challenge,6.875,0.30512693524360657
production,crew,3.1875,0.19384554028511047
professor,doctor,6.125,0.2974480986595154
profit,loss,3.875,0.31804800033569336
profit,warning,1.6875,0.09025371819734573
psychology,anxiety,3.75,0.1413956582546234
psychology,depression,5.25,0.11220180988311768
psychology,discipline,3.3125,0.21980029344558716
psychology,doctor,5.294,0.1429251879453659
psychology,fear,3.1875,0.239639014005661
psychology,freud,5.6875,0.06658647209405899
psychology,health,4.3625,0.07535269856452942
psychology,mind,5.4375,0.22024430334568024
psychology,science,5.9505,0.31943145394325256
reason,criterion,4.625,0.2725905478000641
record,number,3.5,0.3478469252586365
registration,arrangement,3.4375,0.17341355979442596
report,gain,2.25,0.18404057621955872
rock,jazz,5.5,0.20745868980884552
school,center,3.875,0.20132778584957123
secretary,senate,3.75,0.3093682527542114
seven,series,2.25,0.31734246015548706
shower,flood,3.5625,0.05386260151863098
situation,conclusion,3.5625,0.40855151414871216
situation,isolation,1.9375,0.1924622505903244
size,prominence,3.75,0.18969562649726868
skin,eye,2.75,0.22582614421844482
smart,student,3.625,0.12552323937416077
smart,stupid,3.25,0.26719701290130615
soap,opera,3.5625,0.23639270663261414
space,chemistry,1.8875,0.21552567183971405
space,world,4.9375,0.24352052807807922
start,match,2.5,0.4368041753768921
start,year,1.625,0.41441264748573303
stock,cd,2.4375,0.20889320969581604
stock,egg,1.4375,0.10599300265312195
stock,jaguar,0.9375,0.07176561653614044
stock,life,1.8125,0.17938607931137085
stock,live,1.875,0.14005884528160095
stock,market,4.875,0.5183172225952148
stock,phone,0.75,0.13448107242584229
street,avenue,7.6875,0.48598361015319824
street,block,6.5625,0.5052774548530579
street,children,1.294,0.2930442690849304
street,place,4.5,0.3377470076084137
stroke,hospital,3.625,0.1635526865720749
student,professor,4.9375,0.4733777940273285
sugar,approach,0.9375,0.23508583009243011
summer,drought,3.3125,0.13572153449058533
summer,nature,4.0,0.2392919808626175
telephone,communication,6.6875,0.2570768892765045
television,film,5.75,0.3170279860496521
television,radio,4.625,0.34456008672714233
tennis,racket,5.0,0.018777314573526382
territory,kilometer,2.1875,0.016510656103491783
territory,surface,3.594,0.20652583241462708
theater,history,1.9375,0.28588080406188965
tiger,animal,6.9375,0.20475366711616516
tiger,cat,6.75,0.06351783871650696
tiger,jaguar,5.75,0.07535389065742493
tiger,organism,3.0625,0.25640177726745605
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.13748186826705933
train,car,3.5,0.49666738510131836
travel,activity,4.1875,0.1657770723104477
treatment,recovery,5.3125,0.26194095611572266
type,kind,8.4375,0.3869194984436035
victim,emergency,2.6875,0.22337815165519714
war,troops,6.375,0.22980791330337524
weapon,secret,2.5,0.32053041458129883
weather,forecast,5.4375,0.11927777528762817
wednesday,news,1.125,0.24372653663158417
wood,forest,7.9375,0.06766175478696823
word,similarity,0.8125,0.18568597733974457
