Word 1,Word 2,Human (Mean),cosine_similarity
forest,graveyard,1.394,0.06543010473251343
furnace,stove,8.0625,0.03940641134977341
game,defeat,3.6875,0.003955088555812836
game,round,5.1875,0.028893474489450455
game,series,4.5625,0.14018131792545319
game,team,4.625,0.09241446852684021
game,victory,4.6875,0.15706759691238403
glass,metal,2.1875,0.21676892042160034
government,crisis,3.625,0.0725022554397583
governor,interview,1.625,0.019334908574819565
governor,office,4.3125,0.013394011184573174
grocery,money,3.375,0.07377540320158005
harvard,yale,4.875,0.1633809506893158
holy,sex,1.069,-0.012700065039098263
hotel,reservation,5.0625,-0.0018650521524250507
hundred,percent,4.4375,0.14559246599674225
image,surface,1.8125,0.02161732316017151
investigation,effort,3.75,0.06784160435199738
jaguar,car,5.3125,0.21536162495613098
jaguar,cat,6.4375,0.1358294039964676
japanese,american,3.125,0.03255390375852585
jerusalem,israel,6.4375,0.18417292833328247
journal,association,2.625,-0.013727812096476555
journey,car,4.0625,0.01161114126443863
journey,voyage,7.5,0.031963229179382324
king,queen,5.6875,0.13012003898620605
lad,brother,4.9375,-0.005582456476986408
law,lawyer,6.1875,0.05369005724787712
lawyer,evidence,3.9375,0.0023695286363363266
liability,insurance,4.375,0.3003077805042267
life,death,4.375,0.18107755482196808
life,lesson,3.1875,-0.08132030069828033
life,term,3.8125,-0.07688591629266739
line,insurance,1.3125,-0.10797138512134552
liquid,water,7.0625,0.13785356283187866
listing,category,5.375,0.11783936619758606
listing,proximity,1.4375,0.06521642953157425
love,sex,6.375,0.14450381696224213
lover,quarrel,1.6875,-0.031154830008745193
luxury,car,3.3125,-0.007461924105882645
man,governor,4.25,0.06485804915428162
man,woman,4.5,0.3528161644935608
mars,scientist,4.375,-0.022497858852148056
mars,water,1.5625,-0.017575139179825783
media,gain,1.375,0.029240807518363
media,radio,6.4375,0.04845241829752922
media,trading,1.8125,0.04242819920182228
mexico,brazil,3.9375,0.0386987142264843
midday,noon,8.9375,-0.04017898440361023
mile,kilometer,6.9375,0.09198203682899475
minister,party,3.0625,-0.03395814821124077
ministry,culture,2.844,-0.02890200912952423
minority,peace,1.1875,-0.11738971620798111
money,bank,6.0,-0.033795371651649475
money,cash,8.875,0.18696491420269012
money,cash,9.0315,0.18696491420269012
money,currency,7.9375,-0.06152009218931198
money,deposit,5.375,-0.03167952597141266
money,dollar,7.6875,0.18740436434745789
money,laundering,4.4565,-0.010116538032889366
money,operation,1.875,0.09184589982032776
money,possession,4.3125,-0.0782211571931839
money,property,5.0625,0.09679292142391205
money,wealth,7.0625,-0.05936805158853531
money,withdrawal,4.0625,0.006319789215922356
monk,slave,2.5625,-0.1391698718070984
month,hotel,1.0625,-0.04548252001404762
morality,importance,2.5,-0.07155013829469681
morality,marriage,2.375,-0.02576376497745514
movie,critic,3.1875,-0.0781140998005867
movie,star,4.3125,0.2183292955160141
movie,theater,6.125,0.09263219684362411
museum,theater,3.875,0.005511181429028511
music,project,3.1875,0.03398487716913223
nature,environment,6.9375,0.020489796996116638
nature,man,2.9375,0.2548144459724426
network,hardware,3.8125,0.05828050151467323
news,report,6.8125,0.1229306161403656
noon,string,0.6875,0.05420602113008499
observation,architecture,1.875,0.027193810790777206
oil,stock,2.9375,0.1304255574941635
opera,industry,1.194,0.04176340997219086
opera,performance,4.875,0.19626474380493164
peace,atmosphere,2.1875,0.05004456266760826
peace,insurance,1.7565,-0.07511438429355621
peace,plan,1.5,0.02771301567554474
phone,equipment,4.0315,7.316470146179199e-05
physics,chemistry,5.0625,0.13357675075531006
plane,car,3.5625,0.04076875373721123
planet,moon,6.0,0.2122989296913147
planet,people,3.375,-0.08841438591480255
planet,space,5.3125,0.11356623470783234
planet,star,5.625,0.04849444702267647
planet,sun,5.8125,0.02949458733201027
population,development,3.4755,-0.048721350729465485
possibility,girl,1.069,0.0006137462332844734
practice,institution,3.5625,0.07482671737670898
precedent,collection,1.0625,-0.009533176198601723
precedent,example,5.4375,-0.04867104813456535
precedent,group,1.5625,-0.05481979250907898
precedent,information,2.375,0.068179652094841
precedent,law,4.375,-0.1426759958267212
prejudice,recognition,3.3125,-0.0062522441148757935
preservation,world,2.4375,-0.11367611587047577
president,medal,1.25,-0.09717711806297302
problem,airport,1.3125,-0.031196188181638718
problem,challenge,6.875,-0.06468719244003296
production,crew,3.1875,-0.04956648871302605
professor,doctor,6.125,-0.025101615116000175
profit,loss,3.875,0.2267712503671646
profit,warning,1.6875,-0.09369677305221558
psychology,anxiety,3.75,0.031111640855669975
psychology,depression,5.25,0.07777604460716248
psychology,discipline,3.3125,0.030031898990273476
psychology,doctor,5.294,-0.07850230485200882
psychology,fear,3.1875,-0.018222477287054062
psychology,freud,5.6875,-0.012552394531667233
psychology,health,4.3625,0.017611956223845482
psychology,mind,5.4375,0.06675158441066742
psychology,science,5.9505,0.09346403181552887
reason,criterion,4.625,-0.04352744668722153
record,number,3.5,0.08704545348882675
registration,arrangement,3.4375,0.06748080998659134
report,gain,2.25,-0.051985710859298706
rock,jazz,5.5,-0.025062622502446175
school,center,3.875,0.05513677000999451
secretary,senate,3.75,0.08624458312988281
seven,series,2.25,0.03489083796739578
shower,flood,3.5625,0.02499053254723549
situation,conclusion,3.5625,0.05666237324476242
situation,isolation,1.9375,-0.04248042032122612
size,prominence,3.75,-0.027907878160476685
skin,eye,2.75,0.13430841267108917
smart,student,3.625,0.04378627613186836
smart,stupid,3.25,0.00025827810168266296
soap,opera,3.5625,0.06945312023162842
space,chemistry,1.8875,-0.11767685413360596
space,world,4.9375,0.038207922130823135
start,match,2.5,0.009326912462711334
start,year,1.625,0.031276900321245193
stock,cd,2.4375,0.03541546314954758
stock,egg,1.4375,-0.0690033882856369
stock,jaguar,0.9375,0.057070959359407425
stock,life,1.8125,0.0640956461429596
stock,live,1.875,0.03914439305663109
stock,market,4.875,0.28618794679641724
stock,phone,0.75,-0.039668913930654526
street,avenue,7.6875,0.23452377319335938
street,block,6.5625,0.2565140724182129
street,children,1.294,-0.0515371710062027
street,place,4.5,0.012489939108490944
stroke,hospital,3.625,0.02232617884874344
student,professor,4.9375,0.14594805240631104
sugar,approach,0.9375,-0.06443839520215988
summer,drought,3.3125,-0.007488960865885019
summer,nature,4.0,0.04674161970615387
telephone,communication,6.6875,0.04565384238958359
television,film,5.75,0.06487014889717102
television,radio,4.625,0.26130643486976624
tennis,racket,5.0,0.027661338448524475
territory,kilometer,2.1875,-0.03518884256482124
territory,surface,3.594,0.09674590080976486
theater,history,1.9375,-0.0733565241098404
tiger,animal,6.9375,0.12237284332513809
tiger,cat,6.75,0.010626092553138733
tiger,jaguar,5.75,-0.023154493421316147
tiger,organism,3.0625,-0.040908850729465485
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,0.13733230531215668
train,car,3.5,0.08912242949008942
travel,activity,4.1875,-0.08674756437540054
treatment,recovery,5.3125,-0.03845915198326111
type,kind,8.4375,-0.016555048525333405
victim,emergency,2.6875,-0.055701516568660736
war,troops,6.375,0.02565920539200306
weapon,secret,2.5,0.06316966563463211
weather,forecast,5.4375,0.014029447920620441
wednesday,news,1.125,-0.029403619468212128
wood,forest,7.9375,-0.1253633350133896
word,similarity,0.8125,0.021946080029010773
