Word 1,Word 2,Human (Mean),cosine_similarity
food,preparation,3.75,0.16449347138404846
football,basketball,4.125,0.4787968397140503
football,tennis,3.6875,0.30751991271972656
forest,graveyard,1.394,0.07255585491657257
furnace,stove,8.0625,0.24657785892486572
game,defeat,3.6875,0.19567419588565826
game,round,5.1875,0.1953161656856537
game,series,4.5625,0.20276334881782532
game,team,4.625,0.1685694307088852
game,victory,4.6875,0.19960546493530273
glass,metal,2.1875,0.24772116541862488
government,crisis,3.625,0.18173746764659882
governor,interview,1.625,0.17623254656791687
governor,office,4.3125,0.19759061932563782
grocery,money,3.375,0.1585877239704132
harvard,yale,4.875,0.4509013891220093
holy,sex,1.069,0.10757985711097717
hotel,reservation,5.0625,0.22724616527557373
hundred,percent,4.4375,0.24818958342075348
image,surface,1.8125,0.22576555609703064
investigation,effort,3.75,0.14015039801597595
jaguar,car,5.3125,0.2745748460292816
jaguar,cat,6.4375,0.3000623881816864
japanese,american,3.125,0.15508140623569489
jerusalem,israel,6.4375,0.2592404782772064
journal,association,2.625,0.06482744961977005
journey,car,4.0625,0.16829809546470642
journey,voyage,7.5,0.14293308556079865
king,queen,5.6875,0.27696457505226135
lad,brother,4.9375,0.17350636422634125
law,lawyer,6.1875,0.18815754354000092
lawyer,evidence,3.9375,-0.0015078759752213955
liability,insurance,4.375,0.34692975878715515
life,death,4.375,0.18799588084220886
life,lesson,3.1875,0.1244533434510231
life,term,3.8125,0.10295175760984421
line,insurance,1.3125,0.03905833885073662
liquid,water,7.0625,0.3135133981704712
listing,category,5.375,0.14339393377304077
listing,proximity,1.4375,0.1295635998249054
love,sex,6.375,0.12134648114442825
lover,quarrel,1.6875,0.16241319477558136
luxury,car,3.3125,0.15531231462955475
man,governor,4.25,0.21017779409885406
man,woman,4.5,0.27435728907585144
mars,scientist,4.375,0.12649737298488617
mars,water,1.5625,0.16838306188583374
media,gain,1.375,0.16899384558200836
media,radio,6.4375,0.15068966150283813
media,trading,1.8125,0.11757557839155197
mexico,brazil,3.9375,0.21211692690849304
midday,noon,8.9375,0.33696478605270386
mile,kilometer,6.9375,0.308052659034729
minister,party,3.0625,0.06731506437063217
ministry,culture,2.844,0.18464532494544983
minority,peace,1.1875,0.10218312591314316
money,bank,6.0,0.14876605570316315
money,cash,8.875,0.2453981190919876
money,cash,9.0315,0.2453981190919876
money,currency,7.9375,0.1246260404586792
money,deposit,5.375,0.12595252692699432
money,dollar,7.6875,0.2810373902320862
money,laundering,4.4565,0.037143222987651825
money,operation,1.875,0.1910465657711029
money,possession,4.3125,0.009597675874829292
money,property,5.0625,0.22954115271568298
money,wealth,7.0625,0.12417418509721756
money,withdrawal,4.0625,0.17995792627334595
monk,slave,2.5625,0.13190342485904694
month,hotel,1.0625,0.16231964528560638
morality,importance,2.5,0.27455440163612366
morality,marriage,2.375,0.10416355729103088
movie,critic,3.1875,0.03002980723977089
movie,star,4.3125,0.16935639083385468
movie,theater,6.125,0.22741252183914185
museum,theater,3.875,0.18050000071525574
music,project,3.1875,0.10545693337917328
nature,environment,6.9375,0.16354165971279144
nature,man,2.9375,0.2245032787322998
network,hardware,3.8125,0.084051214158535
news,report,6.8125,0.18200157582759857
noon,string,0.6875,0.21191880106925964
observation,architecture,1.875,0.1614164561033249
oil,stock,2.9375,0.1346106231212616
opera,industry,1.194,0.15763314068317413
opera,performance,4.875,0.2563110291957855
peace,atmosphere,2.1875,0.13184325397014618
peace,insurance,1.7565,0.09375980496406555
peace,plan,1.5,0.16534125804901123
phone,equipment,4.0315,0.100914865732193
physics,chemistry,5.0625,0.30547216534614563
plane,car,3.5625,0.130149245262146
planet,moon,6.0,0.42765873670578003
planet,people,3.375,0.12784402072429657
planet,space,5.3125,0.12170448899269104
planet,star,5.625,0.06456129997968674
planet,sun,5.8125,0.2766708731651306
population,development,3.4755,0.18020980060100555
possibility,girl,1.069,0.12366341799497604
practice,institution,3.5625,0.15222086012363434
precedent,collection,1.0625,0.16127924621105194
precedent,example,5.4375,0.08708062767982483
precedent,group,1.5625,0.13627485930919647
precedent,information,2.375,0.21621808409690857
precedent,law,4.375,0.14799661934375763
prejudice,recognition,3.3125,0.0847887396812439
preservation,world,2.4375,0.20701821148395538
president,medal,1.25,0.16157911717891693
problem,airport,1.3125,0.01793350838124752
problem,challenge,6.875,0.1487112194299698
production,crew,3.1875,0.07067366689443588
professor,doctor,6.125,0.08746025711297989
profit,loss,3.875,0.23756664991378784
profit,warning,1.6875,0.11203618347644806
psychology,anxiety,3.75,0.1831907480955124
psychology,depression,5.25,0.15124058723449707
psychology,discipline,3.3125,0.16873416304588318
psychology,doctor,5.294,0.09932851791381836
psychology,fear,3.1875,0.18550753593444824
psychology,freud,5.6875,0.1489855945110321
psychology,health,4.3625,0.1070934534072876
psychology,mind,5.4375,0.17437230050563812
psychology,science,5.9505,0.24652712047100067
reason,criterion,4.625,0.24255555868148804
record,number,3.5,0.1304439753293991
registration,arrangement,3.4375,0.14067310094833374
report,gain,2.25,0.12911339104175568
rock,jazz,5.5,-0.014045799151062965
school,center,3.875,0.05261249095201492
secretary,senate,3.75,0.23308970034122467
seven,series,2.25,0.16307476162910461
shower,flood,3.5625,0.09761074185371399
situation,conclusion,3.5625,0.16441604495048523
situation,isolation,1.9375,0.13082480430603027
size,prominence,3.75,0.2188168317079544
skin,eye,2.75,0.22278755903244019
smart,student,3.625,0.1391301304101944
smart,stupid,3.25,0.25512492656707764
soap,opera,3.5625,0.14608952403068542
space,chemistry,1.8875,0.0898374393582344
space,world,4.9375,0.15904101729393005
start,match,2.5,0.12579341232776642
start,year,1.625,0.17928914725780487
stock,cd,2.4375,0.10005231201648712
stock,egg,1.4375,0.1743549406528473
stock,jaguar,0.9375,0.1325608491897583
stock,life,1.8125,0.11156201362609863
stock,live,1.875,-0.004586745053529739
stock,market,4.875,0.3207150101661682
stock,phone,0.75,0.13744191825389862
street,avenue,7.6875,0.3723338842391968
street,block,6.5625,0.2964712977409363
street,children,1.294,0.10689778625965118
street,place,4.5,0.13857008516788483
stroke,hospital,3.625,0.1479164958000183
student,professor,4.9375,0.2390516996383667
sugar,approach,0.9375,0.06555697321891785
summer,drought,3.3125,0.3051537871360779
summer,nature,4.0,0.050451673567295074
telephone,communication,6.6875,0.10012747347354889
television,film,5.75,0.16327565908432007
television,radio,4.625,0.223419189453125
tennis,racket,5.0,0.13395757973194122
territory,kilometer,2.1875,0.10574591159820557
territory,surface,3.594,0.1133144274353981
theater,history,1.9375,0.05083795636892319
tiger,animal,6.9375,0.21785688400268555
tiger,cat,6.75,0.16621626913547516
tiger,jaguar,5.75,0.16895084083080292
tiger,organism,3.0625,0.12675076723098755
tiger,tiger,10.0,1.0000001192092896
tiger,zoo,4.9375,0.28604844212532043
train,car,3.5,0.26751843094825745
travel,activity,4.1875,0.1343289613723755
treatment,recovery,5.3125,0.08745016157627106
type,kind,8.4375,0.010269839316606522
victim,emergency,2.6875,0.09073839336633682
war,troops,6.375,0.11254449933767319
weapon,secret,2.5,0.15840069949626923
weather,forecast,5.4375,0.11580757796764374
wednesday,news,1.125,0.15388858318328857
wood,forest,7.9375,0.13967767357826233
word,similarity,0.8125,0.13157780468463898
